complaint_id,date,lat,lng,medicine_id,purchased_from_facility_id,description,reported_price,standard_price,estimated_loss,verified,district,city,state,postcode
CMP-FB2410F5,2024-07-13,3.15868,101.697693,MED-B85A6ED2,,Medicine purchased from street vendor near the market.,2.63,5.5,8.37,False,Brickfields,Kuala Lumpur,Kuala Lumpur,50470
CMP-4379186B,2022-08-21,4.588057,101.079434,MED-FB58034C,,Outer box appeared genuine but inner foil pack had no hologram.,7.97,22.0,36.03,False,Sungai Petani,Sungai Petani,Kedah,08000
CMP-68D9148F,2024-05-27,4.590493,101.132039,MED-FB58034C,FAC-3ECA68E5,Unusual smell and texture; patient developed a rash after use.,17.64,22.0,4.36,False,Ipoh,Ipoh,Perak,30000
CMP-194ADA10,2022-05-12,3.165628,101.700619,MED-C029044A,,Outer box appeared genuine but inner foil pack had no hologram.,6.12,9.0,11.88,True,Nilai,Nilai,Negeri Sembilan,71800
CMP-0295A5E8,2023-04-01,3.086842,101.466468,MED-D0A5410E,FAC-F9EE4390,Packaging seal already broken upon purchase.,2.2,4.0,1.8,True,Petaling Jaya,Petaling Jaya,Selangor,47800
CMP-3B67A419,2022-02-10,2.212138,102.235855,MED-48A0F963,FAC-7CD58BBC,Tablet colour differs from usual; patient experienced no relief.,7.04,12.0,4.96,False,Melaka Tengah,Melaka,Melaka,75000
CMP-77A6FAB5,2022-03-17,5.645805,100.486483,MED-94DCD221,,No improvement after full course; lab test confirmed inactive ingredient.,3.59,6.0,8.41,True,Kepong,Kuala Lumpur,Kuala Lumpur,52100
CMP-62493BBD,2024-08-20,3.041343,101.447437,MED-80150E17,,Packaging seal already broken upon purchase.,7.56,18.0,28.44,True,Seremban,Seremban,Negeri Sembilan,70000
CMP-7119682E,2024-04-29,3.117138,101.642276,MED-94DCD221,FAC-ADA334AB,Multiple neighbours bought same batch; all reported ineffectiveness.,6.17,6.0,0.17,True,Wangsa Maju,Kuala Lumpur,Kuala Lumpur,53300
CMP-5F6F19C1,2024-02-21,2.728729,101.970791,MED-87F56986,FAC-4C4DEC32,Expiry date appears tampered — original date scratched off.,8.25,8.0,0.25,True,Rembau,Rembau,Negeri Sembilan,71300
CMP-E883AC61,2023-10-09,2.195475,102.246024,MED-80150E17,,Barcode does not scan; product unverifiable in MOH system.,12.16,18.0,23.84,False,Kampar,Kampar,Perak,31400
CMP-F6EAD819,2024-05-15,3.162265,101.694627,MED-D0A5410E,,Outer box appeared genuine but inner foil pack had no hologram.,2.98,4.0,5.02,False,Nilai,Nilai,Negeri Sembilan,71800
CMP-059AF486,2022-06-29,3.163675,101.696799,MED-80150E17,,Tablet colour differs from usual; patient experienced no relief.,10.8,18.0,25.2,True,Teluk Intan,Teluk Intan,Perak,36000
CMP-B41C8961,2022-01-16,2.750873,101.928787,MED-C029044A,FAC-8F026DD1,Barcode does not scan; product unverifiable in MOH system.,8.71,9.0,0.29,False,Seremban,Seremban,Negeri Sembilan,70000
CMP-41175B2F,2023-12-01,2.193865,102.248923,MED-FB58034C,,No improvement after full course; lab test confirmed inactive ingredient.,16.27,22.0,27.73,False,Georgetown,Georgetown,Penang,10000
CMP-FCAAD80F,2023-07-31,3.100273,101.699819,MED-87F56986,FAC-44382B09,Multiple neighbours bought same batch; all reported ineffectiveness.,7.88,8.0,0.12,False,Bangsar,Kuala Lumpur,Kuala Lumpur,59000
CMP-0F9F67C0,2024-08-28,2.196563,102.246406,MED-D0A5410E,,Packaging seal already broken upon purchase.,2.87,4.0,5.13,False,Kajang,Kajang,Selangor,43000
CMP-841B2735,2022-02-01,5.422443,100.340369,MED-0A195B42,,Patient hospitalised after consumption; batch number not in national registry.,5.14,14.0,22.86,False,Ipoh,Ipoh,Perak,30000
CMP-04D8B543,2022-11-01,3.04526,101.446167,MED-0A195B42,,Outer box appeared genuine but inner foil pack had no hologram.,9.1,14.0,18.9,False,Seputeh,Kuala Lumpur,Kuala Lumpur,58000
CMP-3C2A0E65,2023-01-02,4.588769,101.081573,MED-87F56986,,Medicine purchased from street vendor near the market.,3.89,8.0,12.11,False,Melaka Tengah,Melaka,Melaka,75000
CMP-9183327F,2022-07-19,2.72623,101.947286,MED-A601320E,,Medicine purchased from street vendor near the market.,10.28,18.5,26.72,True,Sepang,Sepang,Selangor,43900
CMP-2D974C40,2023-09-08,5.426759,100.338477,MED-B71DF9FF,,Tablet colour differs from usual; patient experienced no relief.,4.81,6.5,8.19,False,Kepong,Kuala Lumpur,Kuala Lumpur,52100
CMP-7C3B7E33,2022-12-30,4.593206,101.130545,MED-B71DF9FF,FAC-3ECA68E5,Outer box appeared genuine but inner foil pack had no hologram.,4.78,6.5,1.72,True,Ipoh,Ipoh,Perak,30000
CMP-30FFC9A6,2022-04-28,2.7262,101.945902,MED-B85A6ED2,,No improvement after full course; lab test confirmed inactive ingredient.,2.37,5.5,8.63,False,Bangsar,Kuala Lumpur,Kuala Lumpur,59000
CMP-BDC0C3AE,2024-09-06,2.194631,102.248196,MED-B85A6ED2,,Outer box appeared genuine but inner foil pack had no hologram.,2.41,5.5,8.59,False,Ampang,Ampang,Selangor,68000
CMP-BE9BDB0E,2024-05-20,5.64554,100.489722,MED-87F56986,,Seller refused to provide receipt; medicine stored without refrigeration.,2.45,8.0,13.55,False,Georgetown,Georgetown,Penang,10000
CMP-E361F4FC,2024-08-19,3.048304,101.4443,MED-48A0F963,,No improvement after full course; lab test confirmed inactive ingredient.,3.99,12.0,20.01,True,Kulai,Kulai,Johor,81000
CMP-C7C97446,2024-12-07,2.724134,101.946659,MED-C029044A,,Multiple neighbours bought same batch; all reported ineffectiveness.,5.5,9.0,12.5,False,Batu Pahat,Batu Pahat,Johor,83000
CMP-6A5E8C80,2022-12-29,3.078109,101.528995,MED-87F56986,,Price was 60% below standard — suspect adulterated product.,5.38,8.0,10.62,False,Langkawi,Kuah,Kedah,07000
CMP-E2A1A98F,2022-11-12,3.046717,101.449084,MED-87F56986,,Patient hospitalised after consumption; batch number not in national registry.,3.08,8.0,12.92,True,Jasin,Jasin,Melaka,77000
CMP-85C51B5E,2023-05-30,2.728714,101.970668,MED-28EB3902,FAC-4C4DEC32,No improvement after full course; lab test confirmed inactive ingredient.,29.87,55.0,25.13,False,Rembau,Rembau,Negeri Sembilan,71300
CMP-6972BEC8,2024-06-21,2.726047,101.943845,MED-80150E17,,Capsule dissolves immediately unlike genuine product; suspected counterfeit.,7.49,18.0,28.51,False,Taiping,Taiping,Perak,34000
CMP-7F7C4DB7,2023-07-15,5.448446,100.290385,MED-28EB3902,FAC-0A5D8A94,No improvement after full course; lab test confirmed inactive ingredient.,27.71,55.0,27.29,False,Seberang Perai,Perai,Penang,13600
CMP-8E8EF873,2023-07-04,3.06113,101.565735,MED-C029044A,FAC-17D3633A,Online purchase via Telegram; seller account now deleted.,10.94,9.0,1.94,False,Klang,Klang,Selangor,41000
CMP-49CF2C6B,2024-12-23,5.426931,100.339036,MED-28EB3902,,Packaging seal already broken upon purchase.,39.13,55.0,70.87,False,Johor Bahru,Johor Bahru,Johor,80000
CMP-64376E4C,2023-10-07,4.588292,101.08112,MED-87F56986,,Seller refused to provide receipt; medicine stored without refrigeration.,3.07,8.0,12.93,True,Ampang,Ampang,Selangor,68000
CMP-811331D9,2022-04-16,5.646122,100.485988,MED-1711A01F,,Expiry date appears tampered — original date scratched off.,0.93,2.5,4.07,True,Skudai,Johor Bahru,Johor,81300
CMP-A99DB685,2023-10-07,5.645899,100.486397,MED-C029044A,,Tablet colour differs from usual; patient experienced no relief.,2.73,9.0,15.27,False,Bayan Lepas,Bayan Lepas,Penang,11900
CMP-48DCA3BA,2022-10-21,3.077998,101.528933,MED-9EB4B8D6,,Expiry date appears tampered — original date scratched off.,4.17,7.0,9.83,False,Shah Alam,Shah Alam,Selangor,40000
CMP-D1A13B96,2022-03-25,5.647827,100.486582,MED-80150E17,,Seller refused to provide receipt; medicine stored without refrigeration.,12.07,18.0,23.93,True,Kampar,Kampar,Perak,31400
CMP-065C34EE,2024-09-01,2.727024,101.944215,MED-A2FD86E4,,Barcode does not scan; product unverifiable in MOH system.,7.44,22.0,36.56,False,Kepong,Kuala Lumpur,Kuala Lumpur,52100
CMP-DFD21CDB,2024-10-08,2.22809,102.261555,MED-B85A6ED2,FAC-0218137B,Packaging seal already broken upon purchase.,6.74,5.5,1.24,False,Melaka Tengah,Melaka,Melaka,75000
CMP-26C38F68,2023-05-19,4.589597,101.081471,MED-B85A6ED2,,Outer box appeared genuine but inner foil pack had no hologram.,3.22,5.5,7.78,False,Alor Gajah,Alor Gajah,Melaka,78000
CMP-FD966067,2023-03-28,1.461421,103.757706,MED-87F56986,,Unusual smell and texture; patient developed a rash after use.,3.3,8.0,12.7,True,Rembau,Rembau,Negeri Sembilan,71300
CMP-3DDA5271,2023-10-14,4.590103,101.077658,MED-87F56986,,Medicine purchased from street vendor near the market.,5.82,8.0,10.18,False,Ipoh,Ipoh,Perak,30000
CMP-CDDD82DD,2024-01-23,1.459354,103.758168,MED-B71DF9FF,,Packaging seal already broken upon purchase.,2.5,6.5,10.5,True,Sepang,Sepang,Selangor,43900
CMP-310F7FC2,2024-09-15,3.059437,101.565918,MED-87F56986,FAC-17D3633A,Multiple neighbours bought same batch; all reported ineffectiveness.,4.66,8.0,3.34,False,Klang,Klang,Selangor,41000
CMP-E3E0EA0E,2024-08-23,5.425176,100.341273,MED-1711A01F,,Tablet colour differs from usual; patient experienced no relief.,1.58,2.5,3.42,False,Alor Gajah,Alor Gajah,Melaka,78000
CMP-D2375C05,2023-09-23,3.043052,101.445716,MED-FB58034C,,Unusual smell and texture; patient developed a rash after use.,13.43,22.0,30.57,False,Ipoh,Ipoh,Perak,30000
CMP-FBD0054F,2023-04-22,1.461055,103.756816,MED-B85A6ED2,,Online purchase via Telegram; seller account now deleted.,1.87,5.5,9.13,True,Rembau,Rembau,Negeri Sembilan,71300
CMP-5F71EEAF,2022-10-15,3.159001,101.693958,MED-B71DF9FF,,No improvement after full course; lab test confirmed inactive ingredient.,4.57,6.5,8.43,True,Puchong,Puchong,Selangor,47100
CMP-FC3C775A,2023-09-30,5.458856,100.304622,MED-0A195B42,FAC-E4D0C2D8,Seller refused to provide receipt; medicine stored without refrigeration.,8.78,14.0,5.22,True,Bukit Mertajam,Bukit Mertajam,Penang,14000
CMP-61EF7D5D,2023-01-30,3.143935,101.65206,MED-59EB08A3,FAC-8B877AB2,Online purchase via Telegram; seller account now deleted.,6.28,12.0,5.72,False,Wangsa Maju,Kuala Lumpur,Kuala Lumpur,53300
CMP-5BD15395,2022-04-19,3.0774,101.528543,MED-A2FD86E4,,Online purchase via Telegram; seller account now deleted.,14.5,22.0,29.5,True,Kampar,Kampar,Perak,31400
CMP-FA63F974,2024-08-05,1.4575,103.761266,MED-B036DD9C,,Patient hospitalised after consumption; batch number not in national registry.,50.98,95.0,139.02,True,Alor Gajah,Alor Gajah,Melaka,78000
CMP-DFA9C50D,2022-10-30,2.726571,101.945514,MED-59EB08A3,,Price was 60% below standard — suspect adulterated product.,4.21,12.0,19.79,False,Kepong,Kuala Lumpur,Kuala Lumpur,52100
CMP-C1299A9E,2023-10-09,5.645586,100.490083,MED-B036DD9C,,Barcode does not scan; product unverifiable in MOH system.,59.04,95.0,130.96,True,Sentul,Kuala Lumpur,Kuala Lumpur,51000
CMP-D518DD7A,2024-11-11,3.048714,101.444979,MED-99B74A7E,,Unusual smell and texture; patient developed a rash after use.,16.98,25.0,33.02,True,Seberang Perai,Perai,Penang,13600
CMP-FA054882,2024-02-07,3.165525,101.698302,MED-B036DD9C,,Medicine purchased from street vendor near the market.,55.0,95.0,135.0,True,Bangsar,Kuala Lumpur,Kuala Lumpur,59000
CMP-1EEFCF74,2024-06-26,2.193131,102.248841,MED-94DCD221,,No improvement after full course; lab test confirmed inactive ingredient.,4.43,6.0,7.57,False,Bukit Mertajam,Bukit Mertajam,Penang,14000
CMP-4F361DDD,2024-02-28,3.159775,101.697325,MED-99B74A7E,,Online purchase via Telegram; seller account now deleted.,14.55,25.0,35.45,False,Brickfields,Kuala Lumpur,Kuala Lumpur,50470
CMP-C45F0DB2,2022-12-15,2.195545,102.249685,MED-28EB3902,,Patient hospitalised after consumption; batch number not in national registry.,22.94,55.0,87.06,True,Kajang,Kajang,Selangor,43000
CMP-76FB1EA2,2023-03-20,1.461475,103.762782,MED-0A195B42,,Seller refused to provide receipt; medicine stored without refrigeration.,5.17,14.0,22.83,True,Sungai Petani,Sungai Petani,Kedah,08000
CMP-400C6DB9,2023-03-18,5.645715,100.488541,MED-48A0F963,,Price was 60% below standard — suspect adulterated product.,5.66,12.0,18.34,True,Port Dickson,Port Dickson,Negeri Sembilan,71000
CMP-8C81C966,2023-09-09,4.591681,101.132309,MED-94DCD221,FAC-3ECA68E5,Medicine purchased from street vendor near the market.,6.71,6.0,0.71,False,Ipoh,Ipoh,Perak,30000
CMP-389881E4,2023-10-09,1.45894,103.761515,MED-0A195B42,,Seller refused to provide receipt; medicine stored without refrigeration.,7.46,14.0,20.54,False,Port Dickson,Port Dickson,Negeri Sembilan,71000
CMP-F99ECCA9,2022-02-13,5.64761,100.486167,MED-B036DD9C,,Patient hospitalised after consumption; batch number not in national registry.,50.02,95.0,139.98,False,Kepong,Kuala Lumpur,Kuala Lumpur,52100
CMP-B50F5312,2023-06-28,3.041657,101.442069,MED-59EB08A3,,Tablet colour differs from usual; patient experienced no relief.,8.14,12.0,15.86,True,Butterworth,Butterworth,Penang,12000
CMP-001AC6B3,2023-05-28,2.752284,101.93216,MED-87F56986,FAC-8F026DD1,Seller refused to provide receipt; medicine stored without refrigeration.,9.61,8.0,1.61,True,Seremban,Seremban,Negeri Sembilan,70000
CMP-8CBFF65C,2024-10-12,5.426509,100.3377,MED-B85A6ED2,,Multiple neighbours bought same batch; all reported ineffectiveness.,1.96,5.5,9.04,True,Subang Jaya,Subang Jaya,Selangor,47500
CMP-6B7B4BBA,2024-08-28,3.04816,101.447689,MED-A601320E,,Blister pack labelling inconsistent with MOH-registered product.,13.62,18.5,23.38,True,Kepong,Kuala Lumpur,Kuala Lumpur,52100
CMP-FE148636,2023-08-11,3.045932,101.443486,MED-F1BD0EC9,,Medicine purchased from street vendor near the market.,2.55,8.5,14.45,False,Iskandar Puteri,Johor Bahru,Johor,79100
CMP-C2789C84,2024-08-29,3.147352,101.650238,MED-FB58034C,FAC-8B877AB2,Patient hospitalised after consumption; batch number not in national registry.,27.91,22.0,5.91,False,Wangsa Maju,Kuala Lumpur,Kuala Lumpur,53300
CMP-2F736758,2024-04-27,1.489128,103.729395,MED-28EB3902,FAC-C84DEF5D,Multiple neighbours bought same batch; all reported ineffectiveness.,56.9,55.0,1.9,False,Kulai,Kulai,Johor,81000
CMP-1F3EA741,2024-09-19,5.459549,100.305544,MED-0A195B42,FAC-E4D0C2D8,Multiple neighbours bought same batch; all reported ineffectiveness.,11.56,14.0,2.44,True,Bukit Mertajam,Bukit Mertajam,Penang,14000
CMP-E5355563,2022-04-05,3.165664,101.69946,MED-99B74A7E,,Multiple neighbours bought same batch; all reported ineffectiveness.,11.08,25.0,38.92,False,Port Dickson,Port Dickson,Negeri Sembilan,71000
CMP-9C801EBA,2022-10-14,2.751175,101.93139,MED-C029044A,FAC-8F026DD1,Seller refused to provide receipt; medicine stored without refrigeration.,9.26,9.0,0.26,True,Seremban,Seremban,Negeri Sembilan,70000
CMP-148AABA6,2022-05-12,2.738747,101.909864,MED-B85A6ED2,FAC-8AE744B9,Unusual smell and texture; patient developed a rash after use.,4.67,5.5,0.83,True,Seremban,Seremban,Negeri Sembilan,70000
CMP-9A9CB89D,2022-09-27,5.645388,100.490054,MED-0A195B42,,Packaging seal already broken upon purchase.,5.16,14.0,22.84,True,Georgetown,Georgetown,Penang,10000
CMP-84C2D81D,2024-03-07,3.163156,101.693397,MED-9EB4B8D6,,Outer box appeared genuine but inner foil pack had no hologram.,4.2,7.0,9.8,False,Bukit Mertajam,Bukit Mertajam,Penang,14000
CMP-F049630C,2022-09-17,3.161706,101.702853,MED-28EB3902,,Barcode does not scan; product unverifiable in MOH system.,17.18,55.0,92.82,True,Melaka Tengah,Melaka,Melaka,75000
CMP-4DB4DBCC,2022-06-14,2.195406,102.246695,MED-59EB08A3,,Expiry date appears tampered — original date scratched off.,4.62,12.0,19.38,False,Melaka Tengah,Melaka,Melaka,75000
CMP-CDBAE7B2,2022-03-17,3.159118,101.698877,MED-48A0F963,,No improvement after full course; lab test confirmed inactive ingredient.,6.62,12.0,17.38,True,Rembau,Rembau,Negeri Sembilan,71300
CMP-9CBE7CC6,2022-08-30,2.229217,102.259388,MED-9EB4B8D6,FAC-0218137B,Unusual smell and texture; patient developed a rash after use.,7.53,7.0,0.53,True,Melaka Tengah,Melaka,Melaka,75000
CMP-528C9740,2024-01-05,2.770107,101.925381,MED-48A0F963,FAC-B2831513,Multiple neighbours bought same batch; all reported ineffectiveness.,10.44,12.0,1.56,True,Port Dickson,Port Dickson,Negeri Sembilan,71000
CMP-7A7CF0DF,2023-06-04,3.146334,101.650945,MED-A2FD86E4,FAC-8B877AB2,Unusual smell and texture; patient developed a rash after use.,22.47,22.0,0.47,False,Wangsa Maju,Kuala Lumpur,Kuala Lumpur,53300
CMP-27373A4F,2023-01-13,3.159974,101.695377,MED-BFB0E7CA,,Unusual smell and texture; patient developed a rash after use.,19.84,30.0,40.16,True,Johor Bahru,Johor Bahru,Johor,80000
CMP-33F67EA2,2022-06-29,5.646095,100.490473,MED-B036DD9C,,Seller refused to provide receipt; medicine stored without refrigeration.,34.99,95.0,155.01,True,Port Dickson,Port Dickson,Negeri Sembilan,71000
CMP-1C018DDB,2023-12-31,2.22322,102.238543,MED-B71DF9FF,FAC-6B4B764D,Packaging seal already broken upon purchase.,4.55,6.5,1.95,False,Jasin,Jasin,Melaka,77000
CMP-DC551392,2024-07-12,3.081131,101.527993,MED-1711A01F,,Online purchase via Telegram; seller account now deleted.,0.78,2.5,4.22,True,Taiping,Taiping,Perak,34000
CMP-AA13F1A4,2024-08-14,1.459079,103.76081,MED-C029044A,,Online purchase via Telegram; seller account now deleted.,6.48,9.0,11.52,True,Kajang,Kajang,Selangor,43000
CMP-3BE26D11,2022-04-09,6.086208,100.328001,MED-F1BD0EC9,FAC-F1874C81,Expiry date appears tampered — original date scratched off.,9.15,8.5,0.65,True,Sungai Petani,Sungai Petani,Kedah,08000
CMP-9BFBC3AF,2024-12-23,3.161866,101.699073,MED-48A0F963,,Expiry date appears tampered — original date scratched off.,7.56,12.0,16.44,False,Sentul,Kuala Lumpur,Kuala Lumpur,51000
CMP-BD4A99E1,2022-11-23,2.692956,101.904105,MED-B71DF9FF,FAC-3CDFE1CB,Capsule dissolves immediately unlike genuine product; suspected counterfeit.,8.45,6.5,1.95,True,Nilai,Nilai,Negeri Sembilan,71800
CMP-7157E085,2022-02-24,4.590638,101.080566,MED-80150E17,,Packaging seal already broken upon purchase.,12.13,18.0,23.87,True,Jasin,Jasin,Melaka,77000
CMP-34CF0DD8,2022-07-17,2.137935,102.242256,MED-0A195B42,FAC-5FB1305A,Medicine purchased from street vendor near the market.,12.34,14.0,1.66,False,Alor Gajah,Alor Gajah,Melaka,78000
CMP-E0B4AFE5,2023-04-23,3.080928,101.528626,MED-9EB4B8D6,,Online purchase via Telegram; seller account now deleted.,3.54,7.0,10.46,True,Kulai,Kulai,Johor,81000
CMP-EB9FDCE7,2024-05-17,1.457903,103.76145,MED-1711A01F,,Online purchase via Telegram; seller account now deleted.,1.17,2.5,3.83,False,Skudai,Johor Bahru,Johor,81300
CMP-4678459B,2024-06-12,2.195771,102.246656,MED-48A0F963,,Tablet colour differs from usual; patient experienced no relief.,6.96,12.0,17.04,True,Langkawi,Kuah,Kedah,07000
CMP-205CD94C,2023-09-09,2.196755,102.24846,MED-B036DD9C,,Multiple neighbours bought same batch; all reported ineffectiveness.,47.13,95.0,142.87,False,Georgetown,Georgetown,Penang,10000
CMP-8263CEB9,2023-06-06,3.164205,101.700748,MED-94DCD221,,Patient hospitalised after consumption; batch number not in national registry.,3.05,6.0,8.95,True,Teluk Intan,Teluk Intan,Perak,36000
CMP-9624836F,2024-10-17,2.693285,101.903355,MED-BFB0E7CA,FAC-3CDFE1CB,Medicine purchased from street vendor near the market.,17.11,30.0,12.89,True,Nilai,Nilai,Negeri Sembilan,71800
CMP-9D6D758B,2024-06-03,3.046203,101.44866,MED-87F56986,,Unusual smell and texture; patient developed a rash after use.,5.9,8.0,10.1,False,Klang,Klang,Selangor,41000
CMP-8B2DAB82,2023-02-03,2.746423,101.976211,MED-B036DD9C,FAC-0CCF18D7,Barcode does not scan; product unverifiable in MOH system.,83.39,95.0,11.61,True,Nilai,Nilai,Negeri Sembilan,71800
CMP-E001BDF3,2024-01-08,2.194829,102.246178,MED-F1BD0EC9,,Price was 60% below standard — suspect adulterated product.,6.32,8.5,10.68,True,Alor Setar,Alor Setar,Kedah,05000
CMP-F32D0E41,2022-03-13,3.163756,101.697219,MED-0A195B42,,Outer box appeared genuine but inner foil pack had no hologram.,6.53,14.0,21.47,True,Seberang Perai,Perai,Penang,13600
CMP-5063FED0,2022-07-19,3.076798,101.529219,MED-94DCD221,,Price was 60% below standard — suspect adulterated product.,3.4,6.0,8.6,False,Alor Gajah,Alor Gajah,Melaka,78000
CMP-2CC24D5F,2024-04-21,3.114235,101.639668,MED-B85A6ED2,FAC-ADA334AB,Patient hospitalised after consumption; batch number not in national registry.,3.5,5.5,2.0,True,Wangsa Maju,Kuala Lumpur,Kuala Lumpur,53300
CMP-17F3E321,2022-08-20,3.076715,101.530817,MED-A601320E,,Blister pack labelling inconsistent with MOH-registered product.,9.61,18.5,27.39,False,Sepang,Sepang,Selangor,43900
CMP-5B31AD20,2023-11-26,2.723502,101.943814,MED-A601320E,,Tablet colour differs from usual; patient experienced no relief.,13.6,18.5,23.4,True,Chow Kit,Kuala Lumpur,Kuala Lumpur,50350
CMP-A264D5C5,2023-10-29,3.113775,101.491427,MED-B71DF9FF,FAC-5197A2F9,Price was 60% below standard — suspect adulterated product.,7.72,6.5,1.22,True,Puchong,Puchong,Selangor,47100
CMP-2E7191CE,2022-10-22,5.457587,100.3034,MED-94DCD221,FAC-E4D0C2D8,Patient hospitalised after consumption; batch number not in national registry.,4.32,6.0,1.68,False,Bukit Mertajam,Bukit Mertajam,Penang,14000
CMP-4551F025,2023-01-19,3.043417,101.442406,MED-A601320E,,No improvement after full course; lab test confirmed inactive ingredient.,10.74,18.5,26.26,True,Teluk Intan,Teluk Intan,Perak,36000
CMP-21EE9CDC,2023-07-31,5.445396,100.301825,MED-B036DD9C,FAC-AD254158,Unusual smell and texture; patient developed a rash after use.,67.66,95.0,27.34,True,Georgetown,Georgetown,Penang,10000
CMP-6044E2CE,2022-08-02,3.159721,101.696229,MED-B71DF9FF,,Seller refused to provide receipt; medicine stored without refrigeration.,2.69,6.5,10.31,True,Melaka Tengah,Melaka,Melaka,75000
CMP-EA2D01E4,2024-08-13,4.59254,101.131199,MED-28EB3902,FAC-3ECA68E5,Seller refused to provide receipt; medicine stored without refrigeration.,27.75,55.0,27.25,False,Ipoh,Ipoh,Perak,30000
CMP-3080BC39,2022-07-24,1.45747,103.759112,MED-A601320E,,Multiple neighbours bought same batch; all reported ineffectiveness.,7.58,18.5,29.42,False,Bangsar,Kuala Lumpur,Kuala Lumpur,59000
CMP-4604F850,2022-06-23,1.462357,103.758259,MED-B036DD9C,,Online purchase via Telegram; seller account now deleted.,38.53,95.0,151.47,False,Kampar,Kampar,Perak,31400
CMP-AFF8AB0C,2022-07-28,3.046661,101.446291,MED-FB58034C,,Outer box appeared genuine but inner foil pack had no hologram.,13.88,22.0,30.12,False,Titiwangsa,Kuala Lumpur,Kuala Lumpur,53200
CMP-25C95B38,2022-02-23,3.114808,101.493343,MED-99B74A7E,FAC-5197A2F9,Multiple neighbours bought same batch; all reported ineffectiveness.,23.47,25.0,1.53,True,Puchong,Puchong,Selangor,47100
CMP-5B73B8D3,2022-12-18,1.460326,103.757959,MED-A601320E,,Capsule dissolves immediately unlike genuine product; suspected counterfeit.,10.87,18.5,26.13,False,Ipoh,Ipoh,Perak,30000
CMP-864E2552,2022-03-11,3.161695,101.69487,MED-B71DF9FF,,Capsule dissolves immediately unlike genuine product; suspected counterfeit.,4.79,6.5,8.21,True,Port Dickson,Port Dickson,Negeri Sembilan,71000
CMP-0719BACA,2022-11-30,3.040909,101.443258,MED-94DCD221,,Patient hospitalised after consumption; batch number not in national registry.,2.81,6.0,9.19,True,Wangsa Maju,Kuala Lumpur,Kuala Lumpur,53300
CMP-831FFE8A,2024-03-19,4.587873,101.078844,MED-80150E17,,Outer box appeared genuine but inner foil pack had no hologram.,5.44,18.0,30.56,True,Nilai,Nilai,Negeri Sembilan,71800
CMP-A2B3E8F7,2023-09-28,3.159164,101.698532,MED-1711A01F,,Online purchase via Telegram; seller account now deleted.,0.89,2.5,4.11,False,Alor Gajah,Alor Gajah,Melaka,78000
CMP-E675A007,2023-05-08,2.752429,101.931955,MED-59EB08A3,FAC-8F026DD1,Online purchase via Telegram; seller account now deleted.,7.44,12.0,4.56,True,Seremban,Seremban,Negeri Sembilan,70000
CMP-CE931B81,2022-12-26,1.461714,103.762972,MED-C029044A,,Unusual smell and texture; patient developed a rash after use.,5.11,9.0,12.89,True,Muar,Muar,Johor,84000
CMP-C845AB99,2024-08-30,1.490517,103.727025,MED-80150E17,FAC-C84DEF5D,Patient hospitalised after consumption; batch number not in national registry.,15.03,18.0,2.97,False,Kulai,Kulai,Johor,81000
